acida	[Methyloacida]
acyla	"Desulfacyla"
adiutrix	"Candidatus Adiutrix"
alba	Natrialba
altia	"Desulfaltia"
arbor	Cyanoarbor
arcula	Haloarcula
arcula	"Haloarcula"
arcula	Halomicroarcula
arcula	Methylarcula
arcula	Parvularcula
Aurora (aurora)	"Candidatus Cyanaurora" corrig.
baca	Jeotgalibaca
baca	Pelagibaca
baca	Perlucidibaca
baca	Pontibaca
baca	Rhodobaca
baca	Roseibaca
baca	Sinobaca
baca	"Candidatus Syntrophobaca"
baca	Thiobaca
bacca	Desulfobacca
bacula	Desulfobacula
bacula	"Roseibacula"
balneatrix	Balneatrix
barba	"Candidatus Thiobarba"
bifida	"Actinobifida"
bifida	Thermobifida
branca	Anaerobranca
byssus	"Byssus"
caldera	"Candidatus Nitrocaldera"
capillaria	Sirenicapillaria
capsa	Acidicapsa
capsa	Aphanocapsa
capsa	Asterocapsa
capsa	Desulfocapsa
capsa	Gloeocapsa
capsa	Lithocapsa
capsa	Methylocapsa
capsa	Paracapsa
capsa	Planktocyanocapsa
capsa	Pleurocapsa
capsa	Podocapsa
capsa	Pseudocapsa
capsa	"Siderocapsa"
capsa	Sinocapsa
capsa	Stilocapsa
capsa	Thiocapsa
capsa	Thiohalocapsa
carpa	Dermocarpa
castanea	Desulfocastanea
catella	Blastocatella
catella	Catella
catella	Doliocatella
catella	Globicatella
catella	Granulicatella
catella	Proteocatella
catena	Ardenticatena
catena	Cyanocatena
catena	Faecalicatena
catena	Halocatena
catena	Longicatena
catenula	Cyanocatenula
cauda	Marinicauda
cauda	Muricauda
cella	Acidocella
cella	Aestuariicella
cella	"Algicella"
cella	Alkalicella
cella	Aminicella corrig.
cella	Aminocella
cella	Anaerocella
cella	Aquicella
cella	Arcicella
cella	Arenicella
cella	Aurantiacicella
cella	Balneicella
cella	Bryocella
cella	Caminicella
cella	Carboxydocella
cella	Cavicella
cella	Chimaereicella
cella	"Candidatus Chryseopegocella" corrig.
cella	Citreicella
cella	Crassaminicella
cella	Deserticella
cella	Desulfocella
cella	Fervidicella
cella	Flavicella
cella	Fonticella
cella	Granulicella
cella	"Halanaerocella"
cella	Halocella
cella	Mangrovicella
cella	Marinicella
cella	Methanocella
cella	Methylocella
cella	Microcella
cella	Natronocella
cella	Neptunicella
cella	"Nostocella"
cella	Oceanicella
cella	[Organicella]
cella	Parvicella
cella	Petrocella
cella	Poseidonocella
cella	Propionicicella
cella	Psittacicella
cella	Roseicella
cella	Rubricella
cella	"Sabulicella"
cella	Serpentinicella
cella	Sphingosinicella
cella	Sulfuricella
cella	"Candidatus Tepidaquicella" corrig.
cella	"Candidatus Tepidiaquacella"
cella	Tepidicella
cella	Thalassocella
cella	Vadicella
centipeda	Centipeda
chorda	Limnochorda
cista	Altericista
cista	Rhodocista
-clastica (clastica)	Hydrocarboniclastica
clava	Propioniciclava
clava	Thioclava
columna	Anaerocolumna
corallia	Actinocorallia
corticia	"Ancrocorticia"
cultrix	"Candidatus Nucleicultrix"
culturomica	"Culturomica"
curva	"Candidatus Lachnocurva"
curvata	Fodinicurvata
faba	Desulfofaba
faba	"Magnetofaba"
faba	"Marinifaba"
faba	Natranaerofaba
faba	"Candidatus Syntrophofaba"
faba	Thiofaba
falx	Desulfofalx
fera	"Desulfatifera"
fera	Lucifera
ferula	Desulfatiferula
ferula	Haloferula
ferula	Methyloferula
ferula	Oceaniferula
ferula	Spongiiferula
ferula	Sulfuriferula
figura	Caulifigura
foris	"Euryforis"
forma	Crateriforma
forma	Halobiforma
forma	Natronobiforma
forma	Tepidiforma
formosa	Formosa
gemmata	Gemmata
gemmata	Thermogemmata
glaeba	Desulfoglaeba
glans	Desulfatiglans
gutta	Thermogutta
hasta	Halohasta
humida	Humida
humus	Oryzihumus
indua	"Candidatus Scalindua"
indua	"Candidatus Scalindua"
kora	"Candidatus Methanodesulfokora" corrig.
labilia	Marinilabilia
lacinia	Methanolacinia
lamina	Halolamina
lancea	Nitrolancea
lava	"Candidatus Thiolava"
linea	Aggregatilinea
linea	"Candidatus Amarolinea"
linea	Ammassolinea
linea	Anaerolinea
linea	Bellilinea
