acinum	Desulfacinum
aestuarium	Aestuarium
aggregatum	Cyanoaggregatum
apricum	Halapricum
arcanum	"Candidatus Caenarcanum"
archaeum	"Candidatus Aenigmatarchaeum" corrig.
archaeum	"Candidatus Altarchaeum" corrig.
archaeum	"Candidatus Altiarchaeum"
archaeum	"Candidatus Argarchaeum" corrig.
archaeum	"Candidatus Argoarchaeum"
archaeum	"Candidatus Bilamarchaeum"
archaeum	"Candidatus Burarchaeum"
archaeum	"Candidatus Caldarchaeum" corrig.
archaeum	"Candidatus Caldiarchaeum"
archaeum	"Candidatus Cenarchaeum"
archaeum	"Candidatus Cenoporarchaeum" corrig.
archaeum	"Candidatus Fermentimicrarchaeum"
archaeum	"Candidatus Freyrarchaeum"
archaeum	"Candidatus Gugararchaeum"
archaeum	"Candidatus Hadarchaeum"
archaeum	Halalkaliarchaeum
archaeum	Halanaeroarchaeum
archaeum	Halarchaeum
archaeum	Halodesulfurarchaeum
archaeum	"Candidatus Huberarchaeum" corrig.
archaeum	"Candidatus Huberiarchaeum"
archaeum	"Candidatus Hydrothermarchaeum"
archaeum	"Candidatus Iainarchaeum"
archaeum	"Candidatus Jordarchaeum"
archaeum	"Candidatus Korarchaeum"
archaeum	"Candidatus Lokiarchaeum" corrig.
archaeum	"Candidatus Mancarchaeum"
archaeum	"Candidatus Methanohalarchaeum"
archaeum	Methanonatronarchaeum
archaeum	"Candidatus Micrarchaeum"
archaeum	"Candidatus Naiadarchaeum"
archaeum	"Nanoarchaeum"
archaeum	"Candidatus Nanohalarchaeum" corrig.
archaeum	"Candidatus Nanohaloarchaeum"
archaeum	"Natranaeroarchaeum"
archaeum	Natronoarchaeum
archaeum	"Candidatus Nitrosarchaeum" corrig.
archaeum	Nitrosarchaeum
archaeum	"Candidatus Njordarchaeum"
archaeum	"Candidatus Odinarchaeum"
archaeum	"Candidatus Odinarchaeum"
archaeum	"Candidatus Parvarchaeum"
archaeum	"Candidatus Promethearchaeum" corrig.
archaeum	"Candidatus Prometheoarchaeum"
archaeum	Salarchaeum
archaeum	Salinarchaeum
archaeum	"Candidatus Sigynarchaeum"
archaeum	"Candidatus Syntropharchaeum" corrig.
archaeum	"Candidatus Syntrophoarchaeum"
archaeum	"Candidatus Thalassarchaeum"
archaeum	"Candidatus Tiddalikarchaeum"
archaeum	"Candidatus Undinarchaeum"
astrum	Sphaerastrum
bacillum	Desulfatibacillum
bacteria	"Candidatus Aegiribacteria"
bacterium	Abditibacterium
bacterium	Acetanaerobacterium
bacterium	Acetobacterium
bacterium	Acidibrevibacterium
bacterium	Acidipropionibacterium
bacterium	Acidobacterium
bacterium	"Candidatus Acidulidesulfobacterium" corrig.
bacterium	"Candidatus Acidulodesulfobacterium"
bacterium	Actibacterium
bacterium	"Actinobacterium"
bacterium	"Agarbacterium"
bacterium	Agaribacterium
bacterium	Agrobacterium
bacterium	Albibacterium
bacterium	Alginatibacterium
bacterium	Alkalibacterium
bacterium	Alkalihalobacterium
bacterium	"Alterileibacterium"
bacterium	Amedibacterium
bacterium	Aminobacterium
bacterium	Amnibacterium
bacterium	Amniculibacterium
bacterium	Anaerobacterium
bacterium	Antarcticibacterium
bacterium	Aquabacterium
bacterium	Arcanobacterium
bacterium	Arcticibacterium
bacterium	Arenibacterium
bacterium	Arsukibacterium
bacterium	Asinibacterium
bacterium	"Candidatus Atelocyanobacterium"
bacterium	Aureobacterium
bacterium	Avibacterium
bacterium	"Beduinibacterium"
bacterium	"Betabacterium"
bacterium	"Candidatus Biekeibacterium"
bacterium	Bifidobacterium
bacterium	Blattabacterium
bacterium	Brachybacterium
bacterium	Brevibacterium
bacterium	"Butyribacterium"
bacterium	Caecibacterium
bacterium	"Caecibacterium"
bacterium	Caenibacterium
bacterium	"Candidatus Caldatribacterium"
bacterium	Calderobacterium
bacterium	"Candidatus Calescibacterium"
bacterium	Caloribacterium
bacterium	Calymmatobacterium
bacterium	Capillibacterium
bacterium	Caproicibacterium
bacterium	Cardiobacterium
bacterium	Carnobacterium
bacterium	[Caseobacterium]
bacterium	Catellibacterium
bacterium	"Catenabacterium"
bacterium	Catenibacterium
bacterium	Caviibacterium
bacterium	"Cenibacterium"
bacterium	Cetobacterium
bacterium	"Candidatus Chazhemtobacterium"
bacterium	"Candidatus Chazhemtonibacterium" corrig.
bacterium	"Chlorobacterium"
bacterium	Chromobacterium
bacterium	Chryseobacterium
bacterium	"Cillobacterium"
bacterium	Cloacibacterium
bacterium	"Congobacterium"
bacterium	"Corallibacterium"
bacterium	Coralloluteibacterium
bacterium	Coriobacterium
bacterium	Corticibacterium
bacterium	Corynebacterium
bacterium	Criibacterium
bacterium	"Crocebacterium"
bacterium	Croceibacterium
bacterium	Cryobacterium
bacterium	Cryptobacterium
bacterium	Curtobacterium
bacterium	Cutibacterium
bacterium	"Candidatus Cuticobacterium"
bacterium	"Candidatus Cuticulibacterium" corrig.
bacterium	"Cyanobacterium"
bacterium	Cyclobacterium
bacterium	"Candidatus Dactylopiibacterium"
bacterium	[Defluviibacterium]
bacterium	"Dehalobacterium"
bacterium	Deinobacterium
bacterium	Denitrobacterium
bacterium	Desulfitobacterium
bacterium	Desulfobacterium
bacterium	Desulfurobacterium
bacterium	Draconibacterium
bacterium	Endobacterium
bacterium	Epibacterium
bacterium	Epidermidibacterium
bacterium	"Ethanologenbacterium"
bacterium	Eubacterium
bacterium	Exiguobacterium
bacterium	Exilibacterium
bacterium	Faecalibacterium
bacterium	Ferribacterium
bacterium	Fervidobacterium
bacterium	Filobacterium
bacterium	Flavobacterium
bacterium	Fluviibacterium
bacterium	Fretibacterium
bacterium	Frigoribacterium
bacterium	Fusobacterium
bacterium	Gallibacterium
bacterium	Geminobacterium
bacterium	"Geothermobacterium"
bacterium	Glacieibacterium
bacterium	Gorillibacterium
bacterium	"Candidatus Guanabacterium"
bacterium	"Candidatus Guanabaribacterium" corrig.
bacterium	"Candidatus Haematobacterium" corrig.
bacterium	Halalkalibacterium
bacterium	Halalkalibacterium
bacterium	Haloactinobacterium
bacterium	Halobacterium
bacterium	Halodurantibacterium
bacterium	"Halomarinibacterium"
bacterium	Halorubrobacterium
bacterium	Heliobacterium
bacterium	"Candidatus Hemobacterium"
bacterium	Histidinibacterium
bacterium	Hydrogenoanaerobacterium
bacterium	Hyphobacterium
bacterium	Ichthyenterobacterium
bacterium	Ichthyobacterium
bacterium	Ignavibacterium
bacterium	Ileibacterium
bacterium	"Ileibacterium"
bacterium	"Inediibacterium"
bacterium	"Candidatus Intestinibacterium" corrig.
bacterium	Janthinobacterium
bacterium	"Candidatus Kapaibacterium" corrig.
bacterium	"Candidatus Kinetoplastibacterium"
bacterium	"Candidatus Kinetoplastidibacterium" corrig.
bacterium	"Candidatus Krumholzibacterium"
bacterium	Lachnobacterium
bacterium	Lacibacterium
bacterium	Leptobacterium
bacterium	Lichenibacterium
bacterium	Litoribacterium
bacterium	Lucibacterium
bacterium	"Lutibacterium"
bacterium	"Candidatus Macinerneyibacterium" corrig.
bacterium	"Candidatus Magnetobacterium"
bacterium	"Candidatus Magnetobacterium"
bacterium	Mangrovibacterium
bacterium	Maribrevibacterium
bacterium	Marinibacterium
bacterium	Marinobacterium
bacterium	"Massilibacterium"
bacterium	"Candidatus Mcinerneyibacterium"
bacterium	Mesobacterium
bacterium	"Metabacterium"
bacterium	Metallibacterium
bacterium	Methanobacterium
bacterium	Methylobacterium
bacterium	Microbacterium
bacterium	[Minibacterium]
bacterium	"Mobilibacterium"
bacterium	Mogibacterium
bacterium	Monaibacterium
bacterium	"Candidatus Muirbacterium"
bacterium	"Candidatus Muiribacterium" corrig.
bacterium	Mycobacterium
bacterium	Mycolicibacterium
bacterium	"Nanobacterium"
bacterium	"Candidatus Nanosynsaccharibacterium" corrig.
bacterium	Natronobacterium
bacterium	"Necrobacterium"
bacterium	"Nigeribacterium"
bacterium	Niveibacterium
bacterium	Obesumbacterium
bacterium	Oceanibacterium
bacterium	Okibacterium
bacterium	Oribacterium
bacterium	Ornithobacterium
bacterium	Ostreibacterium
bacterium	Oxalicibacterium
bacterium	Paludibacterium
bacterium	Pectobacterium
