acinum	Desulfacinum
aestuarium	Aestuarium
aggregatum	Cyanoaggregatum
apricum	Halapricum
arcanum	Candidatus Caenarcanum
archaeum	"Candidatus Aenigmatarchaeum" corrig.
archaeum	"Candidatus Altarchaeum" corrig.
archaeum	"Candidatus Argarchaeum" corrig.
archaeum	"Candidatus Caldarchaeum" corrig.
archaeum	"Candidatus Cenoporarchaeum" corrig.
archaeum	"Candidatus Huberarchaeum" corrig.
archaeum	"Candidatus Lokiarchaeum" corrig.
archaeum	"Candidatus Nanohalarchaeum" corrig.
archaeum	"Candidatus Nitrosarchaeum" corrig.
archaeum	"Candidatus Promethearchaeum" corrig.
archaeum	"Candidatus Syntropharchaeum" corrig.
archaeum	Candidatus Altiarchaeum
archaeum	Candidatus Argoarchaeum
archaeum	Candidatus Bilamarchaeum
archaeum	Candidatus Burarchaeum
archaeum	Candidatus Caldiarchaeum
archaeum	Candidatus Cenarchaeum
archaeum	Candidatus Fermentimicrarchaeum
archaeum	Candidatus Freyrarchaeum
archaeum	Candidatus Gugararchaeum
archaeum	Candidatus Hadarchaeum
archaeum	Candidatus Huberiarchaeum
archaeum	Candidatus Hydrothermarchaeum
archaeum	Candidatus Iainarchaeum
archaeum	Candidatus Jordarchaeum
archaeum	Candidatus Korarchaeum
archaeum	Candidatus Mancarchaeum
archaeum	Candidatus Methanohalarchaeum
archaeum	Candidatus Micrarchaeum
archaeum	Candidatus Naiadarchaeum
archaeum	Candidatus Nanohaloarchaeum
archaeum	Candidatus Njordarchaeum
archaeum	Candidatus Odinarchaeum
archaeum	Candidatus Parvarchaeum
archaeum	Candidatus Prometheoarchaeum
archaeum	Candidatus Sigynarchaeum
archaeum	Candidatus Syntrophoarchaeum
archaeum	Candidatus Thalassarchaeum
archaeum	Candidatus Tiddalikarchaeum
archaeum	Candidatus Undinarchaeum
archaeum	Halalkaliarchaeum
archaeum	Halanaeroarchaeum
archaeum	Halarchaeum
archaeum	Halodesulfurarchaeum
archaeum	Methanonatronarchaeum
archaeum	Nanoarchaeum
archaeum	Natranaeroarchaeum
archaeum	Natronoarchaeum
archaeum	Nitrosarchaeum
archaeum	Salarchaeum
archaeum	Salinarchaeum
astrum	Sphaerastrum
bacillum	Desulfatibacillum
bacteria	Candidatus Aegiribacteria
bacterium	"Candidatus Acidulidesulfobacterium" corrig.
bacterium	"Candidatus Chazhemtonibacterium" corrig.
bacterium	"Candidatus Cuticulibacterium" corrig.
bacterium	"Candidatus Guanabaribacterium" corrig.
bacterium	"Candidatus Haematobacterium" corrig.
bacterium	"Candidatus Intestinibacterium" corrig.
bacterium	"Candidatus Kapaibacterium" corrig.
bacterium	"Candidatus Kinetoplastidibacterium" corrig.
bacterium	"Candidatus Macinerneyibacterium" corrig.
bacterium	"Candidatus Muiribacterium" corrig.
bacterium	"Candidatus Nanosynsaccharibacterium" corrig.
bacterium	Abditibacterium
bacterium	Acetanaerobacterium
bacterium	Acetobacterium
bacterium	Acidibrevibacterium
bacterium	Acidipropionibacterium
bacterium	Acidobacterium
bacterium	Actibacterium
bacterium	Actinobacterium
bacterium	Agarbacterium
bacterium	Agaribacterium
bacterium	Agrobacterium
bacterium	Albibacterium
bacterium	Alginatibacterium
bacterium	Alkalibacterium
bacterium	Alkalihalobacterium
bacterium	Alterileibacterium
bacterium	Amedibacterium
bacterium	Aminobacterium
bacterium	Amnibacterium
bacterium	Amniculibacterium
bacterium	Anaerobacterium
bacterium	Antarcticibacterium
bacterium	Aquabacterium
bacterium	Arcanobacterium
bacterium	Arcticibacterium
bacterium	Arenibacterium
bacterium	Arsukibacterium
bacterium	Asinibacterium
bacterium	Aureobacterium
bacterium	Avibacterium
bacterium	Beduinibacterium
bacterium	Betabacterium
bacterium	Bifidobacterium
bacterium	Blattabacterium
bacterium	Brachybacterium
bacterium	Brevibacterium
bacterium	Butyribacterium
bacterium	Caecibacterium
bacterium	Caenibacterium
bacterium	Calderobacterium
bacterium	Caloribacterium
bacterium	Calymmatobacterium
bacterium	Candidatus Acidulodesulfobacterium
bacterium	Candidatus Atelocyanobacterium
bacterium	Candidatus Biekeibacterium
bacterium	Candidatus Caldatribacterium
bacterium	Candidatus Calescibacterium
bacterium	Candidatus Chazhemtobacterium
bacterium	Candidatus Cuticobacterium
bacterium	Candidatus Dactylopiibacterium
bacterium	Candidatus Guanabacterium
bacterium	Candidatus Hemobacterium
bacterium	Candidatus Kinetoplastibacterium
bacterium	Candidatus Krumholzibacterium
bacterium	Candidatus Magnetobacterium
bacterium	Candidatus Mcinerneyibacterium
bacterium	Candidatus Muirbacterium
bacterium	Candidatus Rifleibacterium
bacterium	Capillibacterium
bacterium	Caproicibacterium
bacterium	Cardiobacterium
bacterium	Carnobacterium
bacterium	Caseobacterium
bacterium	Catellibacterium
bacterium	Catenabacterium
bacterium	Catenibacterium
bacterium	Caviibacterium
bacterium	Cenibacterium
bacterium	Cetobacterium
bacterium	Chlorobacterium
bacterium	Chromobacterium
bacterium	Chryseobacterium
bacterium	Cillobacterium
bacterium	Cloacibacterium
bacterium	Congobacterium
bacterium	Corallibacterium
bacterium	Coralloluteibacterium
bacterium	Coriobacterium
bacterium	Corticibacterium
bacterium	Corynebacterium
bacterium	Criibacterium
bacterium	Crocebacterium
bacterium	Croceibacterium
bacterium	Cryobacterium
bacterium	Cryptobacterium
bacterium	Curtobacterium
bacterium	Cutibacterium
bacterium	Cyanobacterium
bacterium	Cyclobacterium
bacterium	Defluviibacterium
bacterium	Dehalobacterium
bacterium	Deinobacterium
bacterium	Denitrobacterium
bacterium	Desulfitobacterium
bacterium	Desulfobacterium
bacterium	Desulfurobacterium
bacterium	Draconibacterium
bacterium	Endobacterium
bacterium	Epibacterium
bacterium	Epidermidibacterium
bacterium	Ethanologenbacterium
bacterium	Eubacterium
bacterium	Exiguobacterium
bacterium	Exilibacterium
bacterium	Faecalibacterium
bacterium	Ferribacterium
bacterium	Fervidobacterium
bacterium	Filobacterium
bacterium	Flavobacterium
bacterium	Fluviibacterium
bacterium	Fretibacterium
bacterium	Frigoribacterium
bacterium	Fusobacterium
bacterium	Gallibacterium
bacterium	Geminobacterium
bacterium	Geothermobacterium
bacterium	Glacieibacterium
bacterium	Gorillibacterium
bacterium	Halalkalibacterium
bacterium	Haloactinobacterium
bacterium	Halobacterium
bacterium	Halodurantibacterium
bacterium	Halomarinibacterium
bacterium	Halorubrobacterium
bacterium	Heliobacterium
bacterium	Histidinibacterium
bacterium	Hydrogenoanaerobacterium
bacterium	Hyphobacterium
bacterium	Ichthyenterobacterium
bacterium	Ichthyobacterium
bacterium	Ignavibacterium
bacterium	Ileibacterium
bacterium	Inediibacterium
bacterium	Janthinobacterium
bacterium	Lachnobacterium
bacterium	Lacibacterium
bacterium	Leptobacterium
bacterium	Lichenibacterium
bacterium	Litoribacterium
bacterium	Lucibacterium
bacterium	Lutibacterium
bacterium	Mangrovibacterium
bacterium	Maribrevibacterium
bacterium	Marinibacterium
bacterium	Marinobacterium
bacterium	Massilibacterium
bacterium	Mesobacterium
bacterium	Metabacterium
bacterium	Metallibacterium
bacterium	Methanobacterium
bacterium	Methylobacterium
bacterium	Microbacterium
bacterium	Minibacterium
bacterium	Mobilibacterium
bacterium	Mogibacterium
bacterium	Monaibacterium
bacterium	Mycobacterium
bacterium	Mycolicibacterium
bacterium	Nanobacterium
bacterium	Natronobacterium
bacterium	Necrobacterium
bacterium	Nigeribacterium
bacterium	Niveibacterium
bacterium	Obesumbacterium
bacterium	Oceanibacterium
bacterium	Okibacterium
bacterium	Oribacterium
bacterium	Ornithobacterium
bacterium	Ostreibacterium
bacterium	Oxalicibacterium
bacterium	Paludibacterium
bacterium	Pectobacterium
bacterium	Pelagibacterium
bacterium	Phaeobacterium
bacterium	Phascolarctobacterium
bacterium	Phenylobacterium
bacterium	Photobacterium
bacterium	Phyllobacterium
bacterium	Piscinibacterium
bacterium	Planctobacterium
bacterium	Planobacterium
bacterium	Pleomorphobacterium
bacterium	Pontibacterium
bacterium	Populibacterium
bacterium	Porrumbacterium
bacterium	Profundibacterium
bacterium	Propionibacterium
bacterium	Provencibacterium
bacterium	Puerhibacterium
